Année;Catégorie;Nom;Lauréat;Sexe;Pour
2009;Meilleur Scénario Original;Arnaud Desplechin, Emmanuel Bourdieu;Non;M;UN CONTE DE NOËL
2016;Meilleur Scénario Original;Arnaud Desplechin, Julie Peyr;Non;Mixte;TROIS SOUVENIRS DE MA JEUNESSE
2005;Meilleur Scénario Original ou Adaptation;Arnaud Desplechin, Roger Bohbot;Non;M;ROIS ET REINE
2014;Meilleur Scénario Original;Asghar Farhadi;Non;M;LE PASSÉ
2011;Meilleur Scénario Original;Baya Kasmi, Michel Leclerc;Oui;Mixte;LE NOM DES GENS
2011;Meilleur Scénario Original;Benoît Delépine, Gustave Kervern;Non;M;MAMMUTH
2001;Meilleur Scénario Original ou Adaptation;Bernard Rapp, Gilles Taurand;Non;M;UNE AFFAIRE DE GOÛT
2011;Meilleur Scénario Original;Bertrand Blier;Non;M;LE BRUIT DES GLAÇONS
1985;Meilleur Scénario Original et Dialogues;Bertrand Blier;Oui;M;NOTRE HISTOIRE
1992;Meilleur Scénario Original et/ou Adaptation;Bertrand Blier;Non;M;MERCI LA VIE
1987;Meilleur Scénario Original et/ou Adaptation;Bertrand Blier;Non;M;TENUE DE SOIRÉE
1990;Meilleur Scénario Original et/ou Adaptation;Bertrand Blier;Oui;M;TROP BELLE POUR TOI
1980;Meilleur Scénario, Dialogues ou Adaptation;Bertrand Blier;Oui;M;BUFFET FROID
2017;Meilleur Scénario Original;Bruno Dumont;Non;M;MA LOUTE
2013;Meilleur Scénario Original;Bruno Podalydès, Denis Podalydès;Non;M;ADIEU BERTHE OU L'ENTERREMENT DE MÉMÉ
2006;Meilleur Scénario Original;Cédric Anger, Guillaume Bréaud, Jean-Eric Troubat, Xavier Beauvois;Non;M;LE PETIT LIEUTENANT
2003;Meilleur Scénario Original ou Adaptation;Cédric Klapisch;Non;M;L'AUBERGE ESPAGNOLE
2006;Meilleur Scénario Original;Christian Carion;Non;M;JOYEUX NOËL
1994;Meilleur Scénario Original et/ou Adaptation;Christian Clavier, Jean-Marie Poiré;Non;M;LES VISITEURS
1979;Meilleur Scénario, Dialogues ou Adaptation;Christian de Chalonge, Pierre Dumayet;Non;M;L'ARGENT DES AUTRES
1982;Meilleur Scénario, Dialogues ou Adaptation;Christopher Frank, Pierre Granier-Deferre, Jean-Marc Roberts;Non;M;UNE ÉTRANGE AFFAIRE
2000;Meilleur Scénario Original et/ou Adaptation;Christopher Thompson, Danièle Thompson;Non;Mixte;LA BÛCHE
