Année;Catégorie;Nom;Lauréat;Sexe;Pour
1989;Meilleur Son;Pierre Befve, François Groult, Gérard Lamps;Oui;M;LE GRAND BLEU
2010;Meilleur Son;Pierre Excoffier, Bruno Tarrière, Sélim Azzazi;Oui;M;LE CONCERT
1995;Meilleur Son;Pierre Excoffier, François Groult, Gérard Lamps, Bruno Tarrière;Non;M;LÉON
1980;Meilleur Son;Pierre Gamet;Oui;M;CLAIR DE FEMME
1982;Meilleur Son;Pierre Gamet;Non;M;MALEVIL
1990;Meilleur Son;Pierre Gamet, Claude Villand;Non;M;BUNKER PALACE HÔTEL
1991;Meilleur Son;Pierre Gamet, Dominique Hennequin;Oui;M;CYRANO DE BERGERAC
1991;Meilleur Acteur dans un Second Rôle;Michel Duchaussoy;Non;M;MILOU EN MAI
2016;Meilleur Acteur dans un Second Rôle;Michel Fau;Non;M;MARGUERITE
1977;Meilleur Acteur;Michel Galabru;Oui;M;LE JUGE ET L'ASSASSIN
1991;Meilleur Acteur dans un Second Rôle;Michel Galabru;Non;M;URANUS
1986;Meilleur Acteur dans un Second Rôle;Michel Galabru;Non;M;SUBWAY
1994;Meilleur Son;Pierre Gamet, Dominique Hennequin;Non;M;GERMINAL
1986;Meilleur Son;Pierre Gamet, Dominique Hennequin;Non;M;HAREM
1987;Meilleur Son;Pierre Gamet, Dominique Hennequin, Laurent Quaglio;Non;M;JEAN DE FLORETTE
1983;Meilleur Acteur dans un Second Rôle;Michel Jonasz;Non;M;QU'EST-CE QUI FAIT COURIR DAVID
1998;Meilleur Son;Pierre Gamet, Gérard Lamps;Non;M;LE COUSIN
1992;Meilleur Son;Pierre Gamet, Gérard Lamps, Anne le Campion, Pierre Verany;Oui;Mixte;TOUS LES MATINS DU MONDE
1985;Meilleur Son;Pierre Gamet, Jacques Maumont;Non;M;L'AMOUR À MORT
1983;Meilleur Son;Pierre Gamet, Jacques Maumont;Non;M;LES 40E RUGISSANTS
2004;Meilleur Son;Pierre Gamet, Jean Goudier, Dominique Hennequin;Non;M;BON VOYAGE
1996;Meilleur Son;Pierre Gamet, Jean Goudier, Dominique Hennequin;Oui;M;LE HUSSARD SUR LE TOIT
2007;Meilleur Son;Pierre Gamet, Jean Goudier, Gérard Lamps;Non;M;NE LE DIS À PERSONNE
1992;Meilleur Acteur;Michel Piccoli;Non;M;LA BELLE NOISEUSE
1991;Meilleur Acteur;Michel Piccoli;Non;M;MILOU EN MAI
1985;Meilleur Acteur;Michel Piccoli;Non;M;LA DIAGONALE DU FOU
1982;Meilleur Acteur;Michel Piccoli;Non;M;UNE ÉTRANGE AFFAIRE
1985;Meilleur Son;Pierre Gamet, Jean-Paul Loublier, Claude Villand;Non;M;FORT SAGANNE
2003;Meilleur Son;Pierre Gamet, Jean-Pierre Laforce, Benoît Hillebrant;Non;M;8 FEMMES
1980;Meilleur Son;Pierre Lenoir;Non;M;RETOUR À LA BIEN-AIMÉE
1981;Meilleur Son;Pierre Lenoir;Non;M;UN MAUVAIS FILS
1996;Meilleur Acteur;Michel Serrault;Oui;M;NELLY ET MR ARNAUD
1982;Meilleur Acteur;Michel Serrault;Oui;M;GARDE À VUE
1979;Meilleur Acteur;Michel Serrault;Oui;M;LA CAGE AUX FOLLES
1991;Meilleur Acteur;Michel Serrault;Non;M;DOCTEUR PETIOT
1986;Meilleur Acteur;Michel Serrault;Non;M;ON NE MEURT QUE DEUX FOIS
1984;Meilleur Acteur;Michel Serrault;Non;M;MORTELLE RANDONNÉE
1981;Meilleur Acteur;Michel Serrault;Non;M;LA CAGE AUX FOLLES 2
1979;Meilleur Acteur dans un Second Rôle;Michel Serrault;Non;M;L'ARGENT DES AUTRES
1979;Meilleur Son;Pierre Lenoir;Non;M;UNE HISTOIRE SIMPLE
1984;Meilleur Son;Pierre Lenoir, Jacques Maumont;Non;M;GARÇON !
2013;Meilleur Acteur dans un Second Rôle;Michel Vuillermoz;Non;M;CAMILLE REDOUBLE
2010;Meilleur Acteur dans un Second Rôle;Michel Vuillermoz;Non;M;LE DERNIER POUR LA ROUTE
1996;Meilleur Son;Pierre Lenoir, Jean-Paul Loublier;Non;M;NELLY ET MR ARNAUD
1993;Meilleur Son;Pierre Lenoir, Jean-Paul Loublier;Non;M;UN COEUR EN HIVER
1997;Meilleure Actrice dans un Second Rôle;Michèle Laroque;Non;F;PÉDALE DOUCE
1993;Meilleure Actrice dans un Second Rôle;Michèle Laroque, Maria Pacôme, Zabou;Non;F;LA CRISE
1995;Meilleure Actrice dans un Second Rôle;Michèle Moretti;Non;F;LES ROSEAUX SAUVAGES
2005;Meilleur Son;Pierre Mertens, François Maurel, Sylvain Lasseur, Joël Rangon;Non;M;36, QUAI DES ORFÈVRES
1990;Meilleure Actrice dans un Second Rôle;Micheline Presle;Non;F;I WANT TO GO HOME
2010;Meilleur Son;Pierre Mertens, Laurent Quaglio, Eric Tisserand;Non;M;WELCOME
1978;Meilleur Son;René Magnol, Jacques Maumont;Oui;M;PROVIDENCE
2008;Meilleur Son;Thierry Lebon, Eric Chevallier, Samy Bardet;Non;M;PERSÉPOLIS
1992;Meilleur Son;Vincent Arnardi, Jérôme Thiault;Non;M;DELICATESSEN
1999;Meilleur Son;Vincent Arnardi, Vincent Tulli;Oui;M;TAXI
2000;Meilleur Son;William Flageollet, Guillaume Sciama;Non;M;LES ENFANTS DU MARAIS
1994;Meilleur Son;William Flageollet, Jean-Claude Laureux;Oui;M;BLEU
1995;Meilleur Son;William Flageollet, Jean-Claude Laureux;Non;M;TROIS COULEURS ROUGE
1979;Meilleur Son;William-Robert Sivel;Oui;M;L'ÉTAT SAUVAGE
1983;Meilleur Son;William-Robert Sivel, Claude Villand;Oui;M;LA PASSANTE DU SANS-SOUCI
1980;Meilleure Actrice;Miou Miou;Oui;F;LA DÉROBADE
1998;Meilleure Actrice;Miou Miou;Non;F;NETTOYAGE À SEC
1994;Meilleure Actrice;Miou Miou;Non;F;GERMINAL
1991;Meilleure Actrice;Miou Miou;Non;F;MILOU EN MAI
1989;Meilleure Actrice;Miou Miou;Non;F;LA LECTRICE
1987;Meilleure Actrice;Miou Miou;Non;F;TENUE DE SOIRÉE
1984;Meilleure Actrice;Miou Miou;Non;F;COUP DE FOUDRE
1983;Meilleure Actrice;Miou Miou;Non;F;JOSÉPHA
1978;Meilleure Actrice;Miou Miou;Non;F;DITES-LUI QUE JE L'AIME
1977;Meilleure Actrice;Miou Miou;Non;F;F...COMME FAIRBANKS
2009;Meilleure Adaptation;Abdel Raouf Dafri, Jean-François Richet;Non;M;MESRINE (1ÈRE PARTIE L'INSTINCT DE MORT / 2E PARTIE L'ENNEMI PUBLIC N°1)
2014;Meilleure Adaptation;Abdellatif Kechiche, Ghalya Lacroix;Non;Mixte;LA VIE D'ADÈLE CHAPITRES 1 & 2
1983;Meilleure adaptation et dialogues;Alain Decaux, Robert Hossein;Non;M;LES MISÉRABLES
2010;Meilleure Adaptation;Alex Réval, Laurent Herbiet;Non;M;LES HERBES FOLLES
2010;Meilleure Adaptation;Anne Fontaine, Camille Fontaine;Non;F;COCO AVANT CHANEL
2006;Meilleure Adaptation;Anne Fontaine, Julien Boivent;Non;Mixte;ENTRE SES MAINS
2014;Meilleure Adaptation;Antonin Baudry, Christophe Blain, Bertrand Tavernier;Non;M;QUAI D'ORSAY
2014;Meilleure Adaptation;Arnaud Desplechin, Julie Peyr, Kent Jones;Non;Mixte;JIMMY P. (PSYCHOTHÉRAPIE D'UN INDIEN DES PLAINES)
1985;Meilleure Adaptation;Bertrand Tavernier, Colo Tavernier;Oui;Mixte;UN DIMANCHE À LA CAMPAGNE
2015;Meilleure Adaptation;Cédric Anger;Non;M;LA PROCHAINE FOIS JE VISERAI LE COEUR
2017;Meilleure Adaptation;Céline Sciamma;Oui;F;MA VIE DE COURGETTE
2008;Meilleure Adaptation;Christine Carrière;Non;F;DARLING
2009;Meilleure Adaptation;Christophe Honoré, Gilles Taurand;Non;M;LA BELLE PERSONNE
2008;Meilleure Adaptation;Claude Berri;Non;M;ENSEMBLE, C'EST TOUT
1984;Meilleure Adaptation;Claude Berri, Alain Page;Non;M;TCHAO PANTIN
2008;Meilleure Adaptation;Claude Miller, Natalie Carter;Non;Mixte;UN SECRET
2009;Meilleure Adaptation;Clémence de Biéville, François Caviglioli, Nathalie Lafaurie;Non;Mixte;LE CRIME EST NOTRE AFFAIRE
2006;Meilleure Adaptation;Costa Gavras, Jean-Claude Grumberg;Non;M;LE COUPERET
2015;Meilleure Adaptation;Cyril Gely, Volker Schlöndorff;Oui;M;DIPLOMATIE
2017;Meilleure Adaptation;David Birke;Non;M;ELLE
2012;Meilleure Adaptation;David Foenkinos;Non;M;LA DÉLICATESSE
2014;Meilleure Adaptation;David Ives, Roman Polanski;Non;M;LA VÉNUS À LA FOURRURE
2016;Meilleure Adaptation;David Oelhoffen, Frédéric Tellier;Non;M;L'AFFAIRE SK1
1985;Meilleure Adaptation;Dominique Garnier, Andrzej Zulawski;Non;Mixte;LA FEMME PUBLIQUE
2009;Meilleure Adaptation;Eric Assous, François d'Epenoux, Jean Becker;Non;M;DEUX JOURS À TUER
2001;Meilleure Actrice;Muriel Robin;Non;F;MARIE-LINE
2011;Meilleure Adaptation;Eric Lartigau, Laurent de Bartillat;Non;M;L'HOMME QUI VOULAIT VIVRE SA VIE
1985;Meilleure Adaptation;Francis Girod, Françoise Giroud;Non;Mixte;LE BON PLAISIR
2013;Meilleure Adaptation;François Ozon;Non;M;DANS LA MAISON
2007;Meilleure Actrice dans un Second Rôle;Mylène Demongeot;Non;F;LA CALIFORNIE
2005;Meilleure Actrice dans un Second Rôle;Mylène Demongeot;Non;F;36, QUAI DES ORFÈVRES
1994;Meilleure Actrice dans un Second Rôle;Myriam Boyer;Non;F;UN DEUX TROIS SOLEIL
1980;Meilleure Actrice dans un Second Rôle;Myriam Boyer;Non;F;SÉRIE NOIRE
2017;Meilleure Adaptation;François Ozon;Non;M;FRANTZ
2011;Meilleure Adaptation;François Ozon;Non;M;POTICHE
2013;Meilleure Adaptation;Gilles Taurand, Benoit Jacquot;Non;M;LES ADIEUX À LA REINE
2006;Meilleure Adaptation;Gilles Taurand, Georges-Marc Benamou;Non;M;LE PROMENEUR DU CHAMP DE MARS
2007;Meilleure Adaptation;Guillaume Canet, Philippe Lefèbvre;Non;M;NE LE DIS À PERSONNE
2014;Meilleure Adaptation;Guillaume Gallienne;Oui;M;LES GARÇONS ET GUILLAUME, À TABLE !
2016;Meilleure Adaptation;Hélène Zimmer, Benoit Jacquot;Non;Mixte;JOURNAL D'UNE FEMME DE CHAMBRE
1988;Meilleure Actrice;Nastassja Kinski;Non;F;MALADIE D'AMOUR
1980;Meilleure Actrice;Nastassja Kinski;Non;F;TESS
2013;Meilleure Adaptation;Jacques Audiard, Thomas Bidegain;Oui;M;DE ROUILLE ET D'OS
2006;Meilleure Actrice;Nathalie Baye;Oui;F;LE PETIT LIEUTENANT
1983;Meilleure Actrice;Nathalie Baye;Oui;F;LA BALANCE
2000;Meilleure Actrice;Nathalie Baye;Non;F;VÉNUS BEAUTÉ (INSTITUT)
1991;Meilleure Actrice;Nathalie Baye;Non;F;UN WEEK END SUR DEUX
1984;Meilleure Actrice;Nathalie Baye;Non;F;J'AI ÉPOUSÉ UNE OMBRE
1981;Meilleure Actrice;Nathalie Baye;Non;F;UNE SEMAINE DE VACANCES
1982;Meilleure Actrice dans un Second Rôle;Nathalie Baye;Oui;F;UNE ÉTRANGE AFFAIRE
1981;Meilleure Actrice dans un Second Rôle;Nathalie Baye;Oui;F;SAUVE QUI PEUT (LA VIE)
2017;Meilleure Actrice dans un Second Rôle;Nathalie Baye;Non;F;JUSTE LA FIN DU MONDE
2004;Meilleure Actrice;Nathalie Baye, Isabelle Carré;Non;F;LES SENTIMENTS
2006;Meilleure Adaptation;Jacques Audiard, Tonino Benacquista;Oui;M;DE BATTRE MON COEUR S'EST ARRÊTÉ
1983;Meilleure adaptation et dialogues;Jean Aurenche, Pierre Granier-Deferre, Michel Grisola;Oui;M;L'ÉTOILE DU NORD
2011;Meilleure Adaptation;Jean Cosmos, François-Olivier Rousseau, Bertrand Tavernier;Non;M;LA PRINCESSE DE MONTPENSIER
1983;Meilleure adaptation et dialogues;Jean-Claude Carrière;Non;M;DANTON
2007;Meilleure Adaptation;Jean-Michel Ribes;Non;M;COEURS
2011;Meilleure Adaptation;Julie Bertuccelli;Non;F;L'ARBRE
2017;Meilleure Adaptation;Katell Quillévéré, Gilles Taurand;Non;Mixte;RÉPARER LES VIVANTS
2009;Meilleure Adaptation;Laurent Cantet, François Bégaudeau, Robin Campillo;Oui;M;ENTRE LES MURS
2010;Meilleure Adaptation;Laurent Tirard, Grégoire Vigneron;Non;M;LE PETIT NICOLAS
1979;Meilleure Actrice dans un Second Rôle;Nelly Borgeaud;Non;F;LE SUCRE
1978;Meilleure Actrice dans un Second Rôle;Nelly Borgeaud, Geneviève Fontanel;Non;F;L'HOMME QUI AIMAIT LES FEMMES
2013;Meilleure Adaptation;Lucas Belvaux;Non;M;38 TÉMOINS
2015;Meilleure Adaptation;Lucas Belvaux;Non;M;PAS SON GENRE
2008;Meilleure Adaptation;Marjane Satrapi, Vincent Paronnaud;Oui;Mixte;PERSÉPOLIS
2015;Meilleure Adaptation;Mathieu Amalric, Stéphanie Cléau;Non;Mixte;LA CHAMBRE BLEUE
2012;Meilleure Adaptation;Mathieu Kassovitz, Pierre Geller, Benoît Jaubert;Non;M;L'ORDRE ET LA MORALE
2013;Meilleure Adaptation;Matthieu Delaporte, Alexandre de la Patellière;Non;M;LE PRÉNOM
2007;Meilleure Adaptation;Michel Hazanavicius, Jean-François Halin;Non;M;OSS 117 - LE CAIRE NID D'ESPIONS
2017;Meilleure Adaptation;Nicole Garcia, Jacques Fieschi;Non;Mixte;MAL DE PIERRES
2012;Meilleure Adaptation;Olivier Gorce, Roschdy Zem, Rachid Bouchareb, Olivier Lorelle;Non;M;OMAR M'A TUER
1983;Meilleure adaptation et dialogues;Pascal Jardin, Daniel Schmid;Non;M;HÉCATE, MAÎTRESSE DE LA NUIT
2007;Meilleure Adaptation;Pascale Ferran, Roger Bohbot, Pierre Trividic;Oui;Mixte;LADY CHATTERLEY
2006;Meilleure Adaptation;Patrice Chéreau, Anne-Louise Trividic;Non;Mixte;GABRIELLE
2016;Meilleure Adaptation;Philippe Faucon;Oui;M;FATIMA
2010;Meilleure Adaptation;Philippe Godeau, Agnès de Sacy;Non;Mixte;LE DERNIER POUR LA ROUTE
2007;Meilleure Adaptation;Philippe Lioret, Olivier Adam;Non;M;JE VAIS BIEN, NE T'EN FAIS PAS
2017;Meilleur Acteur;Nicolas Duvauchelle;Non;M;JE NE SUIS PAS UN SALAUD
1984;Meilleure Adaptation;Robert Enrico;Non;M;AU NOM DE TOUS LES MIENS
2012;Meilleur Acteur dans un Second Rôle;Nicolas Duvauchelle, JoeyStarr;Non;M;POLISSE
2011;Meilleure Adaptation;Robert Harris, Roman Polanski;Oui;M;THE GHOST WRITER
2008;Meilleure Adaptation;Ronald Harwood;Non;M;LE SCAPHANDRE ET LE PAPILLON
2016;Meilleure Adaptation;Samuel Benchetrit, Gabor Rassov;Non;M;ASPHALTE
1984;Meilleure Adaptation;Sébastien Japrisot;Oui;M;L'ÉTÉ MEURTRIER
2017;Meilleure Adaptation;Séverine Bosschem, Emmanuelle Bercot;Non;Mixte;LA FILLE DE BREST
2015;Meilleure Adaptation;Sólveig Anspach, Jean-Luc Gaget;Non;Mixte;LULU FEMME NUE
1986;Meilleure Actrice;Nicole Garcia;Non;F;PÉRIL EN LA DEMEURE
1984;Meilleure Actrice;Nicole Garcia;Non;F;LES MOTS POUR LE DIRE
1981;Meilleure Actrice;Nicole Garcia;Non;F;MON ONCLE D'AMÉRIQUE
1980;Meilleure Actrice dans un Second Rôle;Nicole Garcia;Oui;F;LE CAVALEUR
2002;Meilleure Actrice dans un Second Rôle;Nicole Garcia;Non;F;BETTY FISHER ET AUTRES HISTOIRES
2010;Meilleure Adaptation;Stéphane Brizé, Florence Vignon;Oui;Mixte;MADEMOISELLE CHAMBON
2012;Meilleure Adaptation;Vincent Garenq;Non;M;PRÉSUMÉ COUPABLE
2016;Meilleure Adaptation;Vincent Garenq, Stéphane Cabel;Non;M;L'ENQUÊTE
2015;Meilleur Acteur;Niels Arestrup;Non;M;DIPLOMATIE
2014;Meilleur Acteur dans un Second Rôle;Niels Arestrup;Oui;M;QUAI D'ORSAY
2010;Meilleur Acteur dans un Second Rôle;Niels Arestrup;Oui;M;UN PROPHÈTE
2006;Meilleur Acteur dans un Second Rôle;Niels Arestrup;Oui;M;DE BATTRE MON COEUR S'EST ARRÊTÉ
2011;Meilleur Acteur dans un Second Rôle;Niels Arestrup;Non;M;L'HOMME QUI VOULAIT VIVRE SA VIE
2012;Meilleure Adaptation;Yasmina Reza, Roman Polanski;Oui;Mixte;CARNAGE
1987;Meilleure Affiche;Christian Blondel;Oui;M;37°2, LE MATIN
1990;Meilleure Affiche;Gilles Jouin, Jouineau-Bourduge;Oui;M;CINÉMA PARADISO
1986;Meilleure Affiche;Michel Landi;Oui;M;HAREM
1987;Meilleure Affiche;Claude Millet, Denise Millet;Non;Mixte;JE HAIS LES ACTEURS
1987;Meilleure Affiche;Michel Jouin;Non;M;JEAN DE FLORETTE
1989;Meilleure Affiche;Christian Blondel;Non;M;L'OURS
1986;Meilleure Affiche;Zoran Jovanovic;Non;M;LA FORÊT D'ÉMERAUDE
1989;Meilleure Affiche;Benjamin Baltimore;Non;M;LA LECTRICE
1989;Meilleure Affiche;Stéphane Bielikoff, Annie Miller, Luc Roux;Oui;Mixte;LA PETITE VOLEUSE
1988;Meilleure Affiche;Philippe Lemoine;Non;M;LE DERNIER EMPEREUR
1989;Meilleure Affiche;Malinovski;Non;M;LE GRAND BLEU
2013;Meilleure Actrice;Noémie Lvovsky;Non;F;CAMILLE REDOUBLE
2016;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;LA BELLE SAISON
2012;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;L'APOLLONIDE, SOUVENIRS DE LA MAISON CLOSE
2010;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;LES BEAUX GOSSES
2008;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;ACTRICES
2006;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;BACKSTAGE
2002;Meilleure Actrice dans un Second Rôle;Noémie Lvovsky;Non;F;MA FEMME EST UNE ACTRICE
1989;Meilleure Affiche;Anahi Leclerc, Daniel Palestrant;Non;M;LES SAISONS DU PLAISIR
1987;Meilleure Affiche;André François;Non;M;MAX MON AMOUR
1990;Meilleure Affiche;Anahi Leclerc, Jean-Marie Leroy;Non;M;MONSIEUR HIRE
1990;Meilleure Affiche;Dominique Bouchard;Non;M;NOCE BLANCHE
1986;Meilleure Affiche;Benjamin Baltimore;Non;M;PÉRIL EN LA DEMEURE
1986;Meilleure Affiche;Benjamin Baltimore;Non;M;RAN
1988;Meilleure Affiche;Benjamin Baltimore, Luc Roux;Non;M;SOUS LE SOLEIL DE SATAN
1986;Meilleure Affiche;Bernard Bernhardt;Non;M;SUBWAY
1988;Meilleure Affiche;Stéphane Bielikoff, Sadi Nouri;Oui;M;TANDEM
1987;Meilleure Affiche;Gilbert Raffin;Non;M;THÉRÈSE
1990;Meilleure Affiche;Sylvain Mathieu;Non;M;TROP BELLE POUR TOI
1988;Meilleure Affiche;Philippe Lemoine;Non;M;UN HOMME AMOUREUX
1991;Meilleure Actrice dans un Second Rôle;Odette Laure;Non;F;DADDY NOSTALGIE
1990;Meilleure Affiche;Laurent Lufroy, Laurent Pétin;Non;M;VALMONT
2008;Meilleure Musique Écrite pour un Film;Alex Beaupain;Oui;M;LES CHANSONS D'AMOUR
2010;Meilleure Musique Écrite pour un Film;Alex Beaupain;Non;M;NON MA FILLE, TU N'IRAS PAS DANSER
2012;Meilleure Musique Originale;Alex Beaupain;Non;M;LES BIEN-AIMÉS
1997;Meilleure Musique;Alexandre Desplat;Non;M;UN HÉROS TRÈS DISCRET
2006;Meilleure Musique Écrite pour un Film;Alexandre Desplat;Oui;M;DE BATTRE MON COEUR S'EST ARRÊTÉ
2008;Meilleure Musique Écrite pour un Film;Alexandre Desplat;Non;M;L'ENNEMI INTIME
2002;Meilleure Musique Écrite pour un Film;Alexandre Desplat;Non;M;SUR MES LÈVRES
2011;Meilleure Musique Écrite pour un Film;Alexandre Desplat;Oui;M;THE GHOST WRITER
2010;Meilleure Musique Écrite pour un Film;Alexandre Desplat;Non;M;UN PROPHÈTE
2013;Meilleure Musique Originale;Alexandre Desplat;Oui;M;DE ROUILLE ET D'OS
2014;Meilleure Musique Originale;Alexandre Desplat;Non;M;LA VÉNUS À LA FOURRURE
2015;Meilleure Musique Originale;Amine Bouhafa;Oui;F;TIMBUKTU
1996;Meilleure Musique;Angelo Badalamenti;Non;M;LA CITÉ DES ENFANTS PERDUS
2005;Meilleure Musique Écrite pour un Film;Angelo Badalamenti;Non;M;UN LONG DIMANCHE DE FIANÇAILLES
2017;Meilleure Musique Originale;Anne Dudley;Non;F;ELLE
1979;Meilleure Musique;Antoine Duhamel;Non;M;LA CHANSON DE ROLAND
1981;Meilleure Musique;Antoine Duhamel;Non;M;LA MORT EN DIRECT
2012;Meilleur Acteur;Olivier Gourmet;Non;M;L'EXERCICE DE L'ETAT
2014;Meilleur Acteur dans un Second Rôle;Olivier Gourmet;Non;M;GRAND CENTRAL
1997;Meilleure Musique;Antoine Duhamel;Non;M;RIDICULE
2003;Meilleure Musique Écrite pour un Film;Antoine Duhamel;Non;M;LAISSEZ-PASSER
2008;Meilleure Musique Écrite pour un Film;Archie Shepp;Non;M;FAUT QUE ÇA DANSE !
2003;Meilleure Musique Écrite pour un Film;Armand Amar;Non;M;AMEN
2007;Meilleure Musique Écrite pour un Film;Armand Amar;Non;M;INDIGÈNES
2010;Meilleure Musique Écrite pour un Film;Armand Amar;Oui;M;LE CONCERT
2006;Meilleure Musique Écrite pour un Film;Armand Amar;Non;M;VA, VIS ET DEVIENS
2015;Meilleure Musique Originale;Béatrice Thiriet;Non;F;BIRD PEOPLE
2004;Meilleure Musique Écrite pour un Film;Benoît Charest;Oui;M;LES TRIPLETTES DE BELLEVILLE
1985;Meilleure Musique;Bernard Lavilliers;Non;M;RUE BARBARE
1998;Meilleure Musique;Bernardo Sandoval;Oui;M;WESTERN
2011;Meilleur Acteur dans un Second Rôle;Olivier Rabourdin;Non;M;DES HOMMES ET DES DIEUX
2012;Meilleure Musique Originale;Bertrand Bonello;Non;M;L'APOLLONIDE, SOUVENIRS DE LA MAISON CLOSE
2000;Meilleure Musique;Bruno Coulais;Oui;M;HIMALAYA L'ENFANCE D'UN CHEF
2001;Meilleure Musique;Bruno Coulais;Non;M;LES RIVIÈRES POURPRES
1997;Meilleure Musique;Bruno Coulais;Oui;M;MICROCOSMOS
2002;Meilleure Musique Écrite pour un Film;Bruno Coulais;Non;M;LE PEUPLE MIGRATEUR
2004;Meilleur Acteur;Omar Sharif;Oui;M;MONSIEUR IBRAHIM ET LES FLEURS DU CORAN
2012;Meilleur Acteur;Omar Sy;Oui;M;INTOUCHABLES
2017;Meilleur Acteur;Omar Sy;Non;M;CHOCOLAT
2005;Meilleure Musique Écrite pour un Film;Bruno Coulais;Oui;M;LES CHORISTES
2011;Meilleure Musique Écrite pour un Film;Bruno Coulais;Non;M;OCÉANS
2013;Meilleure Musique Originale;Bruno Coulais;Non;M;LES ADIEUX À LA REINE
1998;Meilleure Musique;Bruno Fontaine;Non;M;ON CONNAÎT LA CHANSON
2004;Meilleure Musique Écrite pour un Film;Bruno Fontaine;Non;M;PAS SUR LA BOUCHE
1992;Meilleure Musique;Carlos D'Alessio;Non;M;DELICATESSEN
1976;Meilleure Musique;Carlos D'Alessio;Non;M;INDIA SONG
1984;Meilleure Musique;Charlélie Couture;Non;M;TCHAO PANTIN
1986;Meilleure Musique;Claude Bolling;Non;M;ON NE MEURT QUE DEUX FOIS
1999;Meilleure Musique;Claude Bolling, Francis Lai;Non;M;HASARD OU COÏNCIDENCES
2010;Meilleure Musique Écrite pour un Film;Cliff Martinez;Non;M;À L'ORIGINE
2001;Meilleure Musique;David Sinclair Whitaker;Non;M;HARRY, UN AMI QUI VOUS VEUT DU BIEN
2011;Meilleure Musique Écrite pour un Film;Delphine Mantoulet, Tony Gatlif;Non;Mixte;LIBERTÉ
2006;Meilleure Musique Écrite pour un Film;Emilie Simon;Non;F;LA MARCHE DE L'EMPEREUR
1980;Meilleure Musique;Ennio Morricone;Non;M;I COMME ICARE
1982;Meilleure Musique;Ennio Morricone;Non;M;LE PROFESSIONNEL
2016;Meilleure Musique Originale;Ennio Morricone;Non;M;EN MAI, FAIS CE QU'IL TE PLAÎT
1994;Meilleure Musique;Eric Levi;Non;M;LES VISITEURS
2000;Meilleure Musique;Eric Serra;Non;M;JEANNE D'ARC
1998;Meilleure Musique;Eric Serra;Non;M;LE CINQUIÈME ÉLÉMENT
1989;Meilleure Musique;Eric Serra;Oui;M;LE GRAND BLEU
1995;Meilleure Musique;Eric Serra;Non;M;LÉON
1991;Meilleure Musique;Eric Serra;Non;M;NIKITA
1986;Meilleure Musique;Eric Serra;Non;M;SUBWAY
2014;Meilleure Musique Originale;Etienne Charry;Non;M;L'ÉCUME DES JOURS
2001;Meilleur Acteur;Pascal Greggory;Non;M;LA CONFUSION DES GENRES
1999;Meilleur Acteur;Pascal Greggory;Non;M;CEUX QUI M'AIMENT PRENDRONT LE TRAIN
2008;Meilleur Acteur dans un Second Rôle;Pascal Greggory;Non;M;LA MÔME
1978;Meilleure Musique;Francis Lai;Non;M;BILITIS
1989;Meilleure Musique;Francis Lai;Non;M;ITINÉRAIRE D'UN ENFANT GÂTÉ
1982;Meilleure Musique;Francis Lai, Michel Legrand;Non;M;LES UNS ET LES AUTRES
1976;Meilleure Musique;François de Roubaix;Oui;M;LE VIEUX FUSIL
1987;Meilleure Musique;Gabriel Yared;Non;M;37°2, LE MATIN
1985;Meilleure Actrice;Pascale Ogier;Non;F;LES NUITS DE LA PLEINE LUNE
1998;Meilleure Actrice dans un Second Rôle;Pascale Roberts;Non;F;MARIUS ET JEANNETTE
1988;Meilleure Musique;Gabriel Yared;Non;M;AGENT TROUBLE
1989;Meilleure Musique;Gabriel Yared;Non;M;CAMILLE CLAUDEL
1993;Meilleure Musique;Gabriel Yared;Oui;M;L'AMANT
2007;Meilleure Musique Écrite pour un Film;Gabriel Yared;Non;M;AZUR ET ASMAR
2004;Meilleure Musique Écrite pour un Film;Gabriel Yared;Non;M;BON VOYAGE
2017;Meilleure Musique Originale;Gabriel Yared;Non;M;CHOCOLAT
2013;Meilleure Musique Originale;Gaëtan Roussel, Joseph Dahan;Non;M;CAMILLE REDOUBLE
1993;Meilleure Musique;Georges Delerue;Non;M;DIEN BIEN PHU
1980;Meilleure Musique;Georges Delerue;Oui;M;L'AMOUR EN FUITE
1984;Meilleure Musique;Georges Delerue;Non;M;L'ÉTÉ MEURTRIER
1983;Meilleure Musique;Georges Delerue;Non;M;LA PASSANTE DU SANS-SOUCI
1981;Meilleure Musique;Georges Delerue;Oui;M;LE DERNIER MÉTRO
1977;Meilleure Musique;Georges Delerue;Non;M;LE GRAND ESCOGRIFFE
1977;Meilleure Musique;Georges Delerue;Non;M;POLICE PYTHON 357
1979;Meilleure Musique;Georges Delerue;Oui;M;PRÉPAREZ VOS MOUCHOIRS
1990;Meilleure Musique;Gérard Torikian;Non;M;UN MONDE SANS PITIÉ
1995;Meilleure Musique;Goran Bregovic;Non;M;LA REINE MARGOT
