prénom;nom;Nom complet;pays;url;music short program;music free skating
Alina;ZAGITOVA;Alina ZAGITOVA;OAR;http://www.isuresults.com/bios/isufs00101053.htm;"Black Swan (soundtrack) by Clint Mansell The Middle of the World by Nicholas Britell (""Moonlight"" soundtrack) Black Swan (soundtrack) by Clint Mansell";Don Quixote by Leon Minkus
Alexia;PAGANINI;Alexia PAGANINI;SUI;http://www.isuresults.com/bios/isufs00035472.htm;"Forbidden Love (from ""Romeo and Juliet"" soundtrack) by Abel Korzeniowski";Phantom Fantasia - The Phantom of the Opera by Anthony Inglis
Nicole;RAJICOVA;Nicole RAJICOVA;SVK;http://www.isuresults.com/bios/isufs00013894.htm;Une page d'amour by Nathalia Mansner;Rain, In Your Black Eyes by Ezio Bosso
Anita;OESTLUND;Anita ÖSTLUND;SWE;http://www.isuresults.com/bios/isufs00014929.htm;Carmen Fantasie by David Garrett;Papa Can You Hear Me performed by Barbara Streisand
Anna;KHNYCHENKOVA;Anna KHNYCHENKOVA;UKR;http://www.isuresults.com/bios/isufs00011228.htm;Sorongo Street Passions by Didulia;California Dreamin' performed by Sia
Karen;CHEN;Karen CHEN;USA;http://www.isuresults.com/bios/isufs00034366.htm;On Golden Pond (soundtrack) by Dave Grusin;"Jalousie ""Tango Tzigane"" by Jacob Gade"
Mirai;NAGASU;Mirai NAGASU;USA;http://www.isuresults.com/bios/isufs00010220.htm;Nocturne No. 20 in C Sharp Minor by Frederic Chopin performed by Catherine Manoukian;Miss Saigon by Claude-Michel Schönberg
Bradie;TENNELL;Bradie TENNELL;USA;http://www.isuresults.com/bios/isufs00034592.htm;Taeguki by Lee Dong-Jun;Cinderella Medley by Patrick Doyle
Brendan;KERRY;Brendan KERRY;AUS;http://www.isuresults.com/bios/isufs00011398.htm;Everybody Wants To Rule The World by Tears for Fears, performed by London Symphony Orchestra feat. Spencer Jones and Mckenna Breinholt;Shine On You Crazy Diamond by Pink Floyd Money by Pink Floyd
Jorik;HENDRICKX;Jorik HENDRICKX;BEL;http://www.isuresults.com/bios/isufs00010696.htm;Je suis malade by Alice Dona, Serge Lama performed by Francesco di Cello;Concerto de Aranjuez by Joaquin Rodrigo, performed by Il Divo
Patrick;CHAN;Patrick CHAN;CAN;http://www.isuresults.com/bios/isufs00007980.htm;Dust in the Wind by Kerry Livgren, performed by Kansas;Hallelujah by Leonard Cohen, performed by Jeff Buckley
Keegan;MESSING;Keegan MESSING;CAN;http://www.isuresults.com/bios/isufs00010278.htm;Singin' in the Rain by Nacio Herb Brown performed by Gene Kelly;"The Sober Dawn (from ""City Lights"") by Charlie Chaplin The Reel Chaplin: A Symphonic Adventure, Pt. 2 by Charlie Chaplin"
Boyang;JIN;Boyang JIN;CHN;http://www.isuresults.com/bios/isufs00013802.htm;Crouching Tiger, Hidden Dragon (soundtrack) by Tan Dun;"Mars (from ""The Planets"") by Gustav Holst Cantina Band (from ""Star Wars: A New Hope"") by John Williams Guardians of the Whills Suite (from ""Rogue One: A Star Wars Story"") by Michael Giacchino The Throne Room/Finale (from ""Star Wars: A New Hope"") by John Williams"
Han;YAN;Han YAN;CHN;http://www.isuresults.com/bios/isufs00012352.htm;A Thousand Years by Christina Perri;I'll Take Care Of You by Brooke Benton performed by Beth Hart, Joe Bonamassa
Michal;BREZINA;Michal BREZINA;CZE;http://www.isuresults.com/bios/isufs00007004.htm;Kodo (Japanese Drums);Human by Jamie Hartman, Rory Graham performed by Rag'n'Bone Man Stand by Me by Ben E. King, Jerry Leiber, Mike Stoller Human (MJ Cole Remix) performed by Rag'n'Bone Man
Javier;FERNANDEZ;Javier FERNANDEZ;ESP;http://www.isuresults.com/bios/isufs00007684.htm;Modern Times (soundtrack) by Charlie Chaplin;Man of La Mancha by Mitch Leigh
Felipe;MONTOYA;Felipe MONTOYA;ESP;http://www.isuresults.com/bios/isufs00010001.htm;Cold Song arranged by Rafa Alegre;La Cumparsita
Chafik;BESSEGHIER;Chafik BESSEGHIER;FRA;http://www.isuresults.com/bios/isufs00009928.htm;Sugarhill Gang - Remix by Maxime Rodriguez Down The Road by C2C - Remix by Maxime Rodriguez;Godfather (soundtrack) by Nino Rota - Remix by Maxime Rodriguez
Moris;KVITELASHVILI;Moris KVITELASHVILI;GEO;http://www.isuresults.com/bios/isufs00034232.htm;Feeling Good by Leslie Bricusse, Anthony Newley performed by Michael Buble;Radioactive by Imagine Dragons Dream by Imagine Dragons Believer by Imagine Dragons
Paul;FENTZ;Paul FENTZ;GER;http://www.isuresults.com/bios/isufs00011033.htm;Wonderwall by Noel Gallagher performed by Paul Anka;Game of Thrones (soundtrack)
